layer_id	layer_name	comp_time	comm_size
0	attention	1358329	0
0	moe	981022	635699200
1	attention	1358329	0
1	moe	981022	635699200
2	attention	1358329	0
2	moe	981022	635699200
3	attention	656895	0
3	moe	981022	635699200
4	attention	1358329	0
4	moe	981022	635699200
5	attention	1358329	0
5	moe	981022	635699200
6	attention	1358329	0
6	moe	981022	635699200
7	attention	656895	0
7	moe	981022	635699200
8	attention	1358329	0
8	moe	981022	635699200
9	attention	1358329	0
9	moe	981022	635699200
10	attention	1358329	0
10	moe	981022	635699200
11	attention	656895	0
11	moe	981022	635699200
12	attention	1358329	0
12	moe	981022	635699200
13	attention	1358329	0
13	moe	981022	635699200
14	attention	1358329	0
14	moe	981022	635699200
15	attention	656895	0
15	moe	981022	635699200
16	attention	1358329	0
16	moe	981022	635699200
17	attention	1358329	0
17	moe	981022	635699200
18	attention	1358329	0
18	moe	981022	635699200
19	attention	656895	0
19	moe	981022	635699200
20	attention	1358329	0
20	moe	981022	635699200
21	attention	1358329	0
21	moe	981022	635699200
22	attention	1358329	0
22	moe	981022	635699200
23	attention	656895	0
23	moe	981022	635699200
24	attention	1358329	0
24	moe	981022	635699200
25	attention	1358329	0
25	moe	981022	635699200
26	attention	1358329	0
26	moe	981022	635699200
27	attention	656895	0
27	moe	981022	635699200
28	attention	1358329	0
28	moe	981022	635699200
29	attention	1358329	0
29	moe	981022	635699200
30	attention	1358329	0
30	moe	981022	635699200
31	attention	656895	0
31	moe	981022	635699200
32	attention	1358329	0
32	moe	981022	635699200
33	attention	1358329	0
33	moe	981022	635699200
34	attention	1358329	0
34	moe	981022	635699200
35	attention	656895	0
35	moe	981022	635699200
36	attention	1358329	0
36	moe	981022	635699200
37	attention	1358329	0
37	moe	981022	635699200
38	attention	1358329	0
38	moe	981022	635699200
39	attention	656895	0
39	moe	981022	635699200
40	attention	1358329	0
40	moe	981022	635699200
41	attention	1358329	0
41	moe	981022	635699200
42	attention	1358329	0
42	moe	981022	635699200
43	attention	656895	0
43	moe	981022	635699200
44	attention	1358329	0
44	moe	981022	635699200
45	attention	1358329	0
45	moe	981022	635699200
46	attention	1358329	0
46	moe	981022	635699200
47	attention	656895	0
47	moe	981022	635699200
