layer_id	layer_name	comp_time	comm_size
0	attention	757662	0
0	moe	603856	349634560
1	attention	757662	0
1	moe	603856	349634560
2	attention	757662	0
2	moe	603856	349634560
3	attention	374991	0
3	moe	603856	349634560
4	attention	757662	0
4	moe	603856	349634560
5	attention	757662	0
5	moe	603856	349634560
6	attention	757662	0
6	moe	603856	349634560
7	attention	374991	0
7	moe	603856	349634560
8	attention	757662	0
8	moe	603856	349634560
9	attention	757662	0
9	moe	603856	349634560
10	attention	757662	0
10	moe	603856	349634560
11	attention	374991	0
11	moe	603856	349634560
12	attention	757662	0
12	moe	603856	349634560
13	attention	757662	0
13	moe	603856	349634560
14	attention	757662	0
14	moe	603856	349634560
15	attention	374991	0
15	moe	603856	349634560
16	attention	757662	0
16	moe	603856	349634560
17	attention	757662	0
17	moe	603856	349634560
18	attention	757662	0
18	moe	603856	349634560
19	attention	374991	0
19	moe	603856	349634560
20	attention	757662	0
20	moe	603856	349634560
21	attention	757662	0
21	moe	603856	349634560
22	attention	757662	0
22	moe	603856	349634560
23	attention	374991	0
23	moe	603856	349634560
24	attention	757662	0
24	moe	603856	349634560
25	attention	757662	0
25	moe	603856	349634560
26	attention	757662	0
26	moe	603856	349634560
27	attention	374991	0
27	moe	603856	349634560
28	attention	757662	0
28	moe	603856	349634560
29	attention	757662	0
29	moe	603856	349634560
30	attention	757662	0
30	moe	603856	349634560
31	attention	374991	0
31	moe	603856	349634560
32	attention	757662	0
32	moe	603856	349634560
33	attention	757662	0
33	moe	603856	349634560
34	attention	757662	0
34	moe	603856	349634560
35	attention	374991	0
35	moe	603856	349634560
36	attention	757662	0
36	moe	603856	349634560
37	attention	757662	0
37	moe	603856	349634560
38	attention	757662	0
38	moe	603856	349634560
39	attention	374991	0
39	moe	603856	349634560
40	attention	757662	0
40	moe	603856	349634560
41	attention	757662	0
41	moe	603856	349634560
42	attention	757662	0
42	moe	603856	349634560
43	attention	374991	0
43	moe	603856	349634560
44	attention	757662	0
44	moe	603856	349634560
45	attention	757662	0
45	moe	603856	349634560
46	attention	757662	0
46	moe	603856	349634560
47	attention	374991	0
47	moe	603856	349634560
