layer_id	layer_name	comp_time	comm_size
0	attention	1957708	0
0	moe	1367868	921763840
1	attention	1957708	0
1	moe	1367868	921763840
2	attention	1957708	0
2	moe	1367868	921763840
3	attention	941686	0
3	moe	1367868	921763840
4	attention	1957708	0
4	moe	1367868	921763840
5	attention	1957708	0
5	moe	1367868	921763840
6	attention	1957708	0
6	moe	1367868	921763840
7	attention	941686	0
7	moe	1367868	921763840
8	attention	1957708	0
8	moe	1367868	921763840
9	attention	1957708	0
9	moe	1367868	921763840
10	attention	1957708	0
10	moe	1367868	921763840
11	attention	941686	0
11	moe	1367868	921763840
12	attention	1957708	0
12	moe	1367868	921763840
13	attention	1957708	0
13	moe	1367868	921763840
14	attention	1957708	0
14	moe	1367868	921763840
15	attention	941686	0
15	moe	1367868	921763840
16	attention	1957708	0
16	moe	1367868	921763840
17	attention	1957708	0
17	moe	1367868	921763840
18	attention	1957708	0
18	moe	1367868	921763840
19	attention	941686	0
19	moe	1367868	921763840
20	attention	1957708	0
20	moe	1367868	921763840
21	attention	1957708	0
21	moe	1367868	921763840
22	attention	1957708	0
22	moe	1367868	921763840
23	attention	941686	0
23	moe	1367868	921763840
24	attention	1957708	0
24	moe	1367868	921763840
25	attention	1957708	0
25	moe	1367868	921763840
26	attention	1957708	0
26	moe	1367868	921763840
27	attention	941686	0
27	moe	1367868	921763840
28	attention	1957708	0
28	moe	1367868	921763840
29	attention	1957708	0
29	moe	1367868	921763840
30	attention	1957708	0
30	moe	1367868	921763840
31	attention	941686	0
31	moe	1367868	921763840
32	attention	1957708	0
32	moe	1367868	921763840
33	attention	1957708	0
33	moe	1367868	921763840
34	attention	1957708	0
34	moe	1367868	921763840
35	attention	941686	0
35	moe	1367868	921763840
36	attention	1957708	0
36	moe	1367868	921763840
37	attention	1957708	0
37	moe	1367868	921763840
38	attention	1957708	0
38	moe	1367868	921763840
39	attention	941686	0
39	moe	1367868	921763840
40	attention	1957708	0
40	moe	1367868	921763840
41	attention	1957708	0
41	moe	1367868	921763840
42	attention	1957708	0
42	moe	1367868	921763840
43	attention	941686	0
43	moe	1367868	921763840
44	attention	1957708	0
44	moe	1367868	921763840
45	attention	1957708	0
45	moe	1367868	921763840
46	attention	1957708	0
46	moe	1367868	921763840
47	attention	941686	0
47	moe	1367868	921763840
