layer_id	layer_name	comp_time	comm_size
0	attention	1890859	0
0	moe	1324233	889978880
1	attention	1890859	0
1	moe	1324233	889978880
2	attention	1890859	0
2	moe	1324233	889978880
3	attention	894280	0
3	moe	1324233	889978880
4	attention	1890859	0
4	moe	1324233	889978880
5	attention	1890859	0
5	moe	1324233	889978880
6	attention	1890859	0
6	moe	1324233	889978880
7	attention	894280	0
7	moe	1324233	889978880
8	attention	1890859	0
8	moe	1324233	889978880
9	attention	1890859	0
9	moe	1324233	889978880
10	attention	1890859	0
10	moe	1324233	889978880
11	attention	894280	0
11	moe	1324233	889978880
12	attention	1890859	0
12	moe	1324233	889978880
13	attention	1890859	0
13	moe	1324233	889978880
14	attention	1890859	0
14	moe	1324233	889978880
15	attention	894280	0
15	moe	1324233	889978880
16	attention	1890859	0
16	moe	1324233	889978880
17	attention	1890859	0
17	moe	1324233	889978880
18	attention	1890859	0
18	moe	1324233	889978880
19	attention	894280	0
19	moe	1324233	889978880
20	attention	1890859	0
20	moe	1324233	889978880
21	attention	1890859	0
21	moe	1324233	889978880
22	attention	1890859	0
22	moe	1324233	889978880
23	attention	894280	0
23	moe	1324233	889978880
24	attention	1890859	0
24	moe	1324233	889978880
25	attention	1890859	0
25	moe	1324233	889978880
26	attention	1890859	0
26	moe	1324233	889978880
27	attention	894280	0
27	moe	1324233	889978880
28	attention	1890859	0
28	moe	1324233	889978880
29	attention	1890859	0
29	moe	1324233	889978880
30	attention	1890859	0
30	moe	1324233	889978880
31	attention	894280	0
31	moe	1324233	889978880
32	attention	1890859	0
32	moe	1324233	889978880
33	attention	1890859	0
33	moe	1324233	889978880
34	attention	1890859	0
34	moe	1324233	889978880
35	attention	894280	0
35	moe	1324233	889978880
36	attention	1890859	0
36	moe	1324233	889978880
37	attention	1890859	0
37	moe	1324233	889978880
38	attention	1890859	0
38	moe	1324233	889978880
39	attention	894280	0
39	moe	1324233	889978880
40	attention	1890859	0
40	moe	1324233	889978880
41	attention	1890859	0
41	moe	1324233	889978880
42	attention	1890859	0
42	moe	1324233	889978880
43	attention	894280	0
43	moe	1324233	889978880
44	attention	1890859	0
44	moe	1324233	889978880
45	attention	1890859	0
45	moe	1324233	889978880
46	attention	1890859	0
46	moe	1324233	889978880
47	attention	894280	0
47	moe	1324233	889978880
