layer_id	layer_name	comp_time	comm_size
0	attention	1164514	0
0	moe	849174	540344320
1	attention	1164514	0
1	moe	849174	540344320
2	attention	1164514	0
2	moe	849174	540344320
3	attention	586911	0
3	moe	849174	540344320
4	attention	1164514	0
4	moe	849174	540344320
5	attention	1164514	0
5	moe	849174	540344320
6	attention	1164514	0
6	moe	849174	540344320
7	attention	586911	0
7	moe	849174	540344320
8	attention	1164514	0
8	moe	849174	540344320
9	attention	1164514	0
9	moe	849174	540344320
10	attention	1164514	0
10	moe	849174	540344320
11	attention	586911	0
11	moe	849174	540344320
12	attention	1164514	0
12	moe	849174	540344320
13	attention	1164514	0
13	moe	849174	540344320
14	attention	1164514	0
14	moe	849174	540344320
15	attention	586911	0
15	moe	849174	540344320
16	attention	1164514	0
16	moe	849174	540344320
17	attention	1164514	0
17	moe	849174	540344320
18	attention	1164514	0
18	moe	849174	540344320
19	attention	586911	0
19	moe	849174	540344320
20	attention	1164514	0
20	moe	849174	540344320
21	attention	1164514	0
21	moe	849174	540344320
22	attention	1164514	0
22	moe	849174	540344320
23	attention	586911	0
23	moe	849174	540344320
24	attention	1164514	0
24	moe	849174	540344320
25	attention	1164514	0
25	moe	849174	540344320
26	attention	1164514	0
26	moe	849174	540344320
27	attention	586911	0
27	moe	849174	540344320
28	attention	1164514	0
28	moe	849174	540344320
29	attention	1164514	0
29	moe	849174	540344320
30	attention	1164514	0
30	moe	849174	540344320
31	attention	586911	0
31	moe	849174	540344320
32	attention	1164514	0
32	moe	849174	540344320
33	attention	1164514	0
33	moe	849174	540344320
34	attention	1164514	0
34	moe	849174	540344320
35	attention	586911	0
35	moe	849174	540344320
36	attention	1164514	0
36	moe	849174	540344320
37	attention	1164514	0
37	moe	849174	540344320
38	attention	1164514	0
38	moe	849174	540344320
39	attention	586911	0
39	moe	849174	540344320
40	attention	1164514	0
40	moe	849174	540344320
41	attention	1164514	0
41	moe	849174	540344320
42	attention	1164514	0
42	moe	849174	540344320
43	attention	586911	0
43	moe	849174	540344320
44	attention	1164514	0
44	moe	849174	540344320
45	attention	1164514	0
45	moe	849174	540344320
46	attention	1164514	0
46	moe	849174	540344320
47	attention	586911	0
47	moe	849174	540344320
