layer_id	layer_name	comp_time	comm_size
0	attention	695498	0
0	moe	511892	317849600
1	attention	695498	0
1	moe	511892	317849600
2	attention	695498	0
2	moe	511892	317849600
3	attention	370007	0
3	moe	511892	317849600
4	attention	695498	0
4	moe	511892	317849600
5	attention	695498	0
5	moe	511892	317849600
6	attention	695498	0
6	moe	511892	317849600
7	attention	370007	0
7	moe	511892	317849600
8	attention	695498	0
8	moe	511892	317849600
9	attention	695498	0
9	moe	511892	317849600
10	attention	695498	0
10	moe	511892	317849600
11	attention	370007	0
11	moe	511892	317849600
12	attention	695498	0
12	moe	511892	317849600
13	attention	695498	0
13	moe	511892	317849600
14	attention	695498	0
14	moe	511892	317849600
15	attention	370007	0
15	moe	511892	317849600
16	attention	695498	0
16	moe	511892	317849600
17	attention	695498	0
17	moe	511892	317849600
18	attention	695498	0
18	moe	511892	317849600
19	attention	370007	0
19	moe	511892	317849600
20	attention	695498	0
20	moe	511892	317849600
21	attention	695498	0
21	moe	511892	317849600
22	attention	695498	0
22	moe	511892	317849600
23	attention	370007	0
23	moe	511892	317849600
24	attention	695498	0
24	moe	511892	317849600
25	attention	695498	0
25	moe	511892	317849600
26	attention	695498	0
26	moe	511892	317849600
27	attention	370007	0
27	moe	511892	317849600
28	attention	695498	0
28	moe	511892	317849600
29	attention	695498	0
29	moe	511892	317849600
30	attention	695498	0
30	moe	511892	317849600
31	attention	370007	0
31	moe	511892	317849600
32	attention	695498	0
32	moe	511892	317849600
33	attention	695498	0
33	moe	511892	317849600
34	attention	695498	0
34	moe	511892	317849600
35	attention	370007	0
35	moe	511892	317849600
36	attention	695498	0
36	moe	511892	317849600
37	attention	695498	0
37	moe	511892	317849600
38	attention	695498	0
38	moe	511892	317849600
39	attention	370007	0
39	moe	511892	317849600
40	attention	695498	0
40	moe	511892	317849600
41	attention	695498	0
41	moe	511892	317849600
42	attention	695498	0
42	moe	511892	317849600
43	attention	370007	0
43	moe	511892	317849600
44	attention	695498	0
44	moe	511892	317849600
45	attention	695498	0
45	moe	511892	317849600
46	attention	695498	0
46	moe	511892	317849600
47	attention	370007	0
47	moe	511892	317849600
