time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.108,0.115,0.11052380952380954,0.11,0.0018418171053155936,0.061,0.064,0.06220000000000001,0.062,0.001029563014098701,0.518,0.535,0.5233999999999999,0.521,0.005238320341483522,0.077,0.08,0.07830000000000001,0.078,0.0007141428428542856,0.179,0.189,0.182,0.18,0.003193743884534265,0.061,0.065,0.0624,0.062,0.0011135528725660054,0.926,0.9430000000000001,0.9318000000000002,0.93,0.0048538644398046435,0.129,0.131,0.12950000000000003,0.129,0.0008062257748298557,0.439,0.47300000000000003,0.44815000000000005,0.441,0.013376378433641908,0.027,0.029,0.028100000000000003,0.028,0.00043588989435406776,32,32,4096,11008,32768,True,3808,1
0.109,0.116,0.1118095238095238,0.112,0.0020146853144101143,0.061,0.065,0.06255000000000001,0.062,0.0010712142642814284,0.518,0.538,0.5251,0.521,0.007077428911688204,0.077,0.08,0.07825,0.078,0.0009937303457175904,0.179,0.19,0.1828,0.18,0.004261455150532507,0.061,0.064,0.06265000000000001,0.062,0.001061838029079766,0.926,0.9470000000000001,0.9334999999999999,0.9305000000000001,0.00743303437365926,0.128,0.131,0.12885,0.128,0.001107925990308018,0.443,0.47700000000000004,0.4549,0.446,0.014618139416492114,0.027,0.028,0.027800000000000002,0.028,0.0004000000000000004,32,32,4096,11008,32768,True,3776,1
0.10300000000000001,0.114,0.10885714285714287,0.109,0.003808333147263276,0.059000000000000004,0.064,0.0616,0.0615,0.0017999999999999993,0.511,0.537,0.52485,0.5205,0.010095915015490184,0.075,0.079,0.0772,0.077,0.0011661903789690613,0.17300000000000001,0.191,0.18229999999999996,0.1805,0.0059253691868102155,0.059000000000000004,0.064,0.0619,0.062,0.0017578395831246946,0.918,0.9480000000000001,0.9327500000000001,0.9295,0.011366067921669316,0.125,0.13,0.12764999999999999,0.128,0.001620956507744734,0.40900000000000003,0.47400000000000003,0.4518000000000001,0.4595,0.024703441055852933,0.027,0.028,0.027250000000000003,0.027,0.00043301270189221973,32,32,4096,11008,32768,True,3744,1
0.10200000000000001,0.114,0.10957142857142858,0.11,0.004123930494211611,0.059000000000000004,0.064,0.06210000000000001,0.0625,0.0019209372712298543,0.54,0.554,0.5477000000000001,0.5475000000000001,0.004786439177509733,0.075,0.078,0.07654999999999999,0.077,0.0011169153951844349,0.17300000000000001,0.191,0.18409999999999999,0.1865,0.006617401302626278,0.059000000000000004,0.064,0.06225000000000001,0.063,0.0017571283390805576,0.916,0.9590000000000001,0.9372,0.9460000000000001,0.014235870187663289,0.124,0.129,0.1272,0.128,0.001720465053408527,0.40900000000000003,0.47800000000000004,0.45855000000000007,0.47700000000000004,0.024323805212178463,0.027,0.028,0.02715,0.027,0.0003570714214271428,32,32,4096,11008,32768,True,3712,1
0.109,0.111,0.11000000000000003,0.11,0.0007559289460184551,0.06,0.061,0.06035,0.06,0.0004769696007084732,0.523,0.531,0.5256000000000001,0.524,0.002596150997149436,0.076,0.076,0.07600000000000001,0.076,1.3877787807814457e-17,0.184,0.187,0.18514999999999998,0.185,0.001061838029079766,0.06,0.062,0.060399999999999995,0.06,0.0005830951894845307,0.926,0.936,0.9293999999999999,0.9285000000000001,0.002870540018881467,0.125,0.126,0.1255,0.1255,0.0005000000000000004,0.463,0.47300000000000003,0.4665500000000001,0.465,0.0033387872049593127,0.027,0.028,0.027200000000000002,0.027,0.00040000000000000034,32,32,4096,11008,32768,True,3680,1
0.107,0.11,0.10919047619047617,0.109,0.0009060141709733555,0.06,0.061,0.060299999999999986,0.06,0.0004582575694955844,0.524,0.541,0.53095,0.5295000000000001,0.005580994535026894,0.075,0.076,0.07560000000000001,0.076,0.000489897948556636,0.184,0.19,0.18640000000000004,0.186,0.0017435595774162708,0.06,0.062,0.0605,0.06,0.0005916079783099621,0.924,0.9490000000000001,0.9355000000000002,0.934,0.007915175298121963,0.124,0.125,0.12475,0.125,0.0004330127018922198,0.46,0.47600000000000003,0.46815000000000007,0.466,0.004650537603331473,0.026000000000000002,0.027,0.026450000000000008,0.026000000000000002,0.0004974937185533088,32,32,4096,11008,32768,True,3648,1
0.1,0.109,0.10623809523809526,0.107,0.002990536851068108,0.056,0.06,0.0591,0.0595,0.001260952021291848,0.508,0.527,0.5203,0.5215000000000001,0.005348831648126538,0.07200000000000001,0.075,0.07400000000000001,0.074,0.0009486832980505102,0.17300000000000001,0.185,0.18229999999999996,0.183,0.0030999999999999947,0.056,0.06,0.05945,0.06,0.0010712142642814262,0.911,0.936,0.9230500000000001,0.9235,0.004924175057814257,0.12,0.124,0.1234,0.124,0.001067707825203132,0.41200000000000003,0.467,0.45760000000000006,0.462,0.014984658821608182,0.026000000000000002,0.027,0.026050000000000007,0.026000000000000002,0.00021794494717703312,32,32,4096,11008,32768,True,3616,1
0.107,0.11,0.10795238095238095,0.108,0.0008438116736509221,0.059000000000000004,0.061,0.06000000000000001,0.06,0.0003162277660168371,0.506,0.517,0.5101,0.509,0.0034044089061098437,0.073,0.074,0.0736,0.074,0.0004898979485566361,0.186,0.191,0.18810000000000002,0.188,0.0014106735979665895,0.06,0.061,0.06020000000000001,0.06,0.0004000000000000004,0.893,0.905,0.8971,0.896,0.003374907406137244,0.123,0.124,0.12335000000000003,0.123,0.00047696960070847325,0.462,0.47200000000000003,0.46775,0.468,0.002643387977577263,0.025,0.027,0.025550000000000007,0.025500000000000002,0.0005894913061275799,32,32,4096,11008,32768,True,3584,1
0.10300000000000001,0.109,0.1064761904761905,0.107,0.0014349065879351757,0.058,0.06,0.05945,0.06,0.00066895440801298,0.498,0.514,0.50695,0.511,0.006606625462367311,0.07200000000000001,0.074,0.07285,0.073,0.0007262919523166924,0.181,0.191,0.18664999999999998,0.189,0.0038636122993903036,0.058,0.061,0.05965,0.06,0.000963068014212909,0.887,0.905,0.8947499999999999,0.897,0.006057020719792864,0.121,0.123,0.12210000000000001,0.122,0.0008306623862918082,0.45,0.47300000000000003,0.4649,0.47100000000000003,0.009032718306246473,0.025,0.026000000000000002,0.025250000000000005,0.025,0.00043301270189221973,32,32,4096,11008,32768,True,3552,1
0.101,0.109,0.10495238095238098,0.10300000000000001,0.00325834007515352,0.057,0.061,0.058699999999999995,0.059,0.0015524174696260004,0.493,0.52,0.50545,0.505,0.01124488772731859,0.07,0.074,0.07189999999999999,0.07150000000000001,0.0012999999999999947,0.177,0.192,0.18434999999999999,0.184,0.006597537419370964,0.057,0.061,0.05890000000000001,0.059,0.001479864858694872,0.88,0.914,0.8944000000000001,0.894,0.012603174203350529,0.11900000000000001,0.123,0.12075,0.121,0.0015124483462254131,0.432,0.47700000000000004,0.45644999999999997,0.4675,0.02009098056342698,0.024,0.026000000000000002,0.025100000000000004,0.025,0.0004358898943540678,32,32,4096,11008,32768,True,3520,1
