layer_id	layer_name	comp_time	comm_size
0	attention	896222	0
0	moe	688575	413204480
1	attention	896222	0
1	moe	688575	413204480
2	attention	896222	0
2	moe	688575	413204480
3	attention	453707	0
3	moe	688575	413204480
4	attention	896222	0
4	moe	688575	413204480
5	attention	896222	0
5	moe	688575	413204480
6	attention	896222	0
6	moe	688575	413204480
7	attention	453707	0
7	moe	688575	413204480
8	attention	896222	0
8	moe	688575	413204480
9	attention	896222	0
9	moe	688575	413204480
10	attention	896222	0
10	moe	688575	413204480
11	attention	453707	0
11	moe	688575	413204480
12	attention	896222	0
12	moe	688575	413204480
13	attention	896222	0
13	moe	688575	413204480
14	attention	896222	0
14	moe	688575	413204480
15	attention	453707	0
15	moe	688575	413204480
16	attention	896222	0
16	moe	688575	413204480
17	attention	896222	0
17	moe	688575	413204480
18	attention	896222	0
18	moe	688575	413204480
19	attention	453707	0
19	moe	688575	413204480
20	attention	896222	0
20	moe	688575	413204480
21	attention	896222	0
21	moe	688575	413204480
22	attention	896222	0
22	moe	688575	413204480
23	attention	453707	0
23	moe	688575	413204480
24	attention	896222	0
24	moe	688575	413204480
25	attention	896222	0
25	moe	688575	413204480
26	attention	896222	0
26	moe	688575	413204480
27	attention	453707	0
27	moe	688575	413204480
28	attention	896222	0
28	moe	688575	413204480
29	attention	896222	0
29	moe	688575	413204480
30	attention	896222	0
30	moe	688575	413204480
31	attention	453707	0
31	moe	688575	413204480
32	attention	896222	0
32	moe	688575	413204480
33	attention	896222	0
33	moe	688575	413204480
34	attention	896222	0
34	moe	688575	413204480
35	attention	453707	0
35	moe	688575	413204480
36	attention	896222	0
36	moe	688575	413204480
37	attention	896222	0
37	moe	688575	413204480
38	attention	896222	0
38	moe	688575	413204480
39	attention	453707	0
39	moe	688575	413204480
40	attention	896222	0
40	moe	688575	413204480
41	attention	896222	0
41	moe	688575	413204480
42	attention	896222	0
42	moe	688575	413204480
43	attention	453707	0
43	moe	688575	413204480
44	attention	896222	0
44	moe	688575	413204480
45	attention	896222	0
45	moe	688575	413204480
46	attention	896222	0
46	moe	688575	413204480
47	attention	453707	0
47	moe	688575	413204480
