layer_id	layer_name	comp_time	comm_size
0	attention	91071	0
0	moe	138790	31784960
1	attention	91071	0
1	moe	138790	31784960
2	attention	91071	0
2	moe	138790	31784960
3	attention	61696	0
3	moe	138790	31784960
4	attention	91071	0
4	moe	138790	31784960
5	attention	91071	0
5	moe	138790	31784960
6	attention	91071	0
6	moe	138790	31784960
7	attention	61696	0
7	moe	138790	31784960
8	attention	91071	0
8	moe	138790	31784960
9	attention	91071	0
9	moe	138790	31784960
10	attention	91071	0
10	moe	138790	31784960
11	attention	61696	0
11	moe	138790	31784960
12	attention	91071	0
12	moe	138790	31784960
13	attention	91071	0
13	moe	138790	31784960
14	attention	91071	0
14	moe	138790	31784960
15	attention	61696	0
15	moe	138790	31784960
16	attention	91071	0
16	moe	138790	31784960
17	attention	91071	0
17	moe	138790	31784960
18	attention	91071	0
18	moe	138790	31784960
19	attention	61696	0
19	moe	138790	31784960
20	attention	91071	0
20	moe	138790	31784960
21	attention	91071	0
21	moe	138790	31784960
22	attention	91071	0
22	moe	138790	31784960
23	attention	61696	0
23	moe	138790	31784960
24	attention	91071	0
24	moe	138790	31784960
25	attention	91071	0
25	moe	138790	31784960
26	attention	91071	0
26	moe	138790	31784960
27	attention	61696	0
27	moe	138790	31784960
28	attention	91071	0
28	moe	138790	31784960
29	attention	91071	0
29	moe	138790	31784960
30	attention	91071	0
30	moe	138790	31784960
31	attention	61696	0
31	moe	138790	31784960
32	attention	91071	0
32	moe	138790	31784960
33	attention	91071	0
33	moe	138790	31784960
34	attention	91071	0
34	moe	138790	31784960
35	attention	61696	0
35	moe	138790	31784960
36	attention	91071	0
36	moe	138790	31784960
37	attention	91071	0
37	moe	138790	31784960
38	attention	91071	0
38	moe	138790	31784960
39	attention	61696	0
39	moe	138790	31784960
40	attention	91071	0
40	moe	138790	31784960
41	attention	91071	0
41	moe	138790	31784960
42	attention	91071	0
42	moe	138790	31784960
43	attention	61696	0
43	moe	138790	31784960
44	attention	91071	0
44	moe	138790	31784960
45	attention	91071	0
45	moe	138790	31784960
46	attention	91071	0
46	moe	138790	31784960
47	attention	61696	0
47	moe	138790	31784960
