layer_id	layer_name	comp_time	comm_size
0	attention	1698488	0
0	moe	1193901	794624000
1	attention	1698488	0
1	moe	1193901	794624000
2	attention	1698488	0
2	moe	1193901	794624000
3	attention	822688	0
3	moe	1193901	794624000
4	attention	1698488	0
4	moe	1193901	794624000
5	attention	1698488	0
5	moe	1193901	794624000
6	attention	1698488	0
6	moe	1193901	794624000
7	attention	822688	0
7	moe	1193901	794624000
8	attention	1698488	0
8	moe	1193901	794624000
9	attention	1698488	0
9	moe	1193901	794624000
10	attention	1698488	0
10	moe	1193901	794624000
11	attention	822688	0
11	moe	1193901	794624000
12	attention	1698488	0
12	moe	1193901	794624000
13	attention	1698488	0
13	moe	1193901	794624000
14	attention	1698488	0
14	moe	1193901	794624000
15	attention	822688	0
15	moe	1193901	794624000
16	attention	1698488	0
16	moe	1193901	794624000
17	attention	1698488	0
17	moe	1193901	794624000
18	attention	1698488	0
18	moe	1193901	794624000
19	attention	822688	0
19	moe	1193901	794624000
20	attention	1698488	0
20	moe	1193901	794624000
21	attention	1698488	0
21	moe	1193901	794624000
22	attention	1698488	0
22	moe	1193901	794624000
23	attention	822688	0
23	moe	1193901	794624000
24	attention	1698488	0
24	moe	1193901	794624000
25	attention	1698488	0
25	moe	1193901	794624000
26	attention	1698488	0
26	moe	1193901	794624000
27	attention	822688	0
27	moe	1193901	794624000
28	attention	1698488	0
28	moe	1193901	794624000
29	attention	1698488	0
29	moe	1193901	794624000
30	attention	1698488	0
30	moe	1193901	794624000
31	attention	822688	0
31	moe	1193901	794624000
32	attention	1698488	0
32	moe	1193901	794624000
33	attention	1698488	0
33	moe	1193901	794624000
34	attention	1698488	0
34	moe	1193901	794624000
35	attention	822688	0
35	moe	1193901	794624000
36	attention	1698488	0
36	moe	1193901	794624000
37	attention	1698488	0
37	moe	1193901	794624000
38	attention	1698488	0
38	moe	1193901	794624000
39	attention	822688	0
39	moe	1193901	794624000
40	attention	1698488	0
40	moe	1193901	794624000
41	attention	1698488	0
41	moe	1193901	794624000
42	attention	1698488	0
42	moe	1193901	794624000
43	attention	822688	0
43	moe	1193901	794624000
44	attention	1698488	0
44	moe	1193901	794624000
45	attention	1698488	0
45	moe	1193901	794624000
46	attention	1698488	0
46	moe	1193901	794624000
47	attention	822688	0
47	moe	1193901	794624000
