layer_id	layer_name	comp_time	comm_size
0	attention	292802	0
0	moe	262213	127139840
1	attention	292802	0
1	moe	262213	127139840
2	attention	292802	0
2	moe	262213	127139840
3	attention	162253	0
3	moe	262213	127139840
4	attention	292802	0
4	moe	262213	127139840
5	attention	292802	0
5	moe	262213	127139840
6	attention	292802	0
6	moe	262213	127139840
7	attention	162253	0
7	moe	262213	127139840
8	attention	292802	0
8	moe	262213	127139840
9	attention	292802	0
9	moe	262213	127139840
10	attention	292802	0
10	moe	262213	127139840
11	attention	162253	0
11	moe	262213	127139840
12	attention	292802	0
12	moe	262213	127139840
13	attention	292802	0
13	moe	262213	127139840
14	attention	292802	0
14	moe	262213	127139840
15	attention	162253	0
15	moe	262213	127139840
16	attention	292802	0
16	moe	262213	127139840
17	attention	292802	0
17	moe	262213	127139840
18	attention	292802	0
18	moe	262213	127139840
19	attention	162253	0
19	moe	262213	127139840
20	attention	292802	0
20	moe	262213	127139840
21	attention	292802	0
21	moe	262213	127139840
22	attention	292802	0
22	moe	262213	127139840
23	attention	162253	0
23	moe	262213	127139840
24	attention	292802	0
24	moe	262213	127139840
25	attention	292802	0
25	moe	262213	127139840
26	attention	292802	0
26	moe	262213	127139840
27	attention	162253	0
27	moe	262213	127139840
28	attention	292802	0
28	moe	262213	127139840
29	attention	292802	0
29	moe	262213	127139840
30	attention	292802	0
30	moe	262213	127139840
31	attention	162253	0
31	moe	262213	127139840
32	attention	292802	0
32	moe	262213	127139840
33	attention	292802	0
33	moe	262213	127139840
34	attention	292802	0
34	moe	262213	127139840
35	attention	162253	0
35	moe	262213	127139840
36	attention	292802	0
36	moe	262213	127139840
37	attention	292802	0
37	moe	262213	127139840
38	attention	292802	0
38	moe	262213	127139840
39	attention	162253	0
39	moe	262213	127139840
40	attention	292802	0
40	moe	262213	127139840
41	attention	292802	0
41	moe	262213	127139840
42	attention	292802	0
42	moe	262213	127139840
43	attention	162253	0
43	moe	262213	127139840
44	attention	292802	0
44	moe	262213	127139840
45	attention	292802	0
45	moe	262213	127139840
46	attention	292802	0
46	moe	262213	127139840
47	attention	162253	0
47	moe	262213	127139840
