layer_id	layer_name	comp_time	comm_size
0	attention	159863	0
0	moe	253819	63569920
1	attention	159863	0
1	moe	253819	63569920
2	attention	159863	0
2	moe	253819	63569920
3	attention	93089	0
3	moe	253819	63569920
4	attention	159863	0
4	moe	253819	63569920
5	attention	159863	0
5	moe	253819	63569920
6	attention	159863	0
6	moe	253819	63569920
7	attention	93089	0
7	moe	253819	63569920
8	attention	159863	0
8	moe	253819	63569920
9	attention	159863	0
9	moe	253819	63569920
10	attention	159863	0
10	moe	253819	63569920
11	attention	93089	0
11	moe	253819	63569920
12	attention	159863	0
12	moe	253819	63569920
13	attention	159863	0
13	moe	253819	63569920
14	attention	159863	0
14	moe	253819	63569920
15	attention	93089	0
15	moe	253819	63569920
16	attention	159863	0
16	moe	253819	63569920
17	attention	159863	0
17	moe	253819	63569920
18	attention	159863	0
18	moe	253819	63569920
19	attention	93089	0
19	moe	253819	63569920
20	attention	159863	0
20	moe	253819	63569920
21	attention	159863	0
21	moe	253819	63569920
22	attention	159863	0
22	moe	253819	63569920
23	attention	93089	0
23	moe	253819	63569920
24	attention	159863	0
24	moe	253819	63569920
25	attention	159863	0
25	moe	253819	63569920
26	attention	159863	0
26	moe	253819	63569920
27	attention	93089	0
27	moe	253819	63569920
28	attention	159863	0
28	moe	253819	63569920
29	attention	159863	0
29	moe	253819	63569920
30	attention	159863	0
30	moe	253819	63569920
31	attention	93089	0
31	moe	253819	63569920
32	attention	159863	0
32	moe	253819	63569920
33	attention	159863	0
33	moe	253819	63569920
34	attention	159863	0
34	moe	253819	63569920
35	attention	93089	0
35	moe	253819	63569920
36	attention	159863	0
36	moe	253819	63569920
37	attention	159863	0
37	moe	253819	63569920
38	attention	159863	0
38	moe	253819	63569920
39	attention	93089	0
39	moe	253819	63569920
40	attention	159863	0
40	moe	253819	63569920
41	attention	159863	0
41	moe	253819	63569920
42	attention	159863	0
42	moe	253819	63569920
43	attention	93089	0
43	moe	253819	63569920
44	attention	159863	0
44	moe	253819	63569920
45	attention	159863	0
45	moe	253819	63569920
46	attention	159863	0
46	moe	253819	63569920
47	attention	93089	0
47	moe	253819	63569920
