layer_id	layer_name	comp_time	comm_size
0	attention	91419	0
0	moe	238971	31784960
1	attention	91419	0
1	moe	238971	31784960
2	attention	91419	0
2	moe	238971	31784960
3	attention	61827	0
3	moe	238971	31784960
4	attention	91419	0
4	moe	238971	31784960
5	attention	91419	0
5	moe	238971	31784960
6	attention	91419	0
6	moe	238971	31784960
7	attention	61827	0
7	moe	238971	31784960
8	attention	91419	0
8	moe	238971	31784960
9	attention	91419	0
9	moe	238971	31784960
10	attention	91419	0
10	moe	238971	31784960
11	attention	61827	0
11	moe	238971	31784960
12	attention	91419	0
12	moe	238971	31784960
13	attention	91419	0
13	moe	238971	31784960
14	attention	91419	0
14	moe	238971	31784960
15	attention	61827	0
15	moe	238971	31784960
16	attention	91419	0
16	moe	238971	31784960
17	attention	91419	0
17	moe	238971	31784960
18	attention	91419	0
18	moe	238971	31784960
19	attention	61827	0
19	moe	238971	31784960
20	attention	91419	0
20	moe	238971	31784960
21	attention	91419	0
21	moe	238971	31784960
22	attention	91419	0
22	moe	238971	31784960
23	attention	61827	0
23	moe	238971	31784960
24	attention	91419	0
24	moe	238971	31784960
25	attention	91419	0
25	moe	238971	31784960
26	attention	91419	0
26	moe	238971	31784960
27	attention	61827	0
27	moe	238971	31784960
28	attention	91419	0
28	moe	238971	31784960
29	attention	91419	0
29	moe	238971	31784960
30	attention	91419	0
30	moe	238971	31784960
31	attention	61827	0
31	moe	238971	31784960
32	attention	91419	0
32	moe	238971	31784960
33	attention	91419	0
33	moe	238971	31784960
34	attention	91419	0
34	moe	238971	31784960
35	attention	61827	0
35	moe	238971	31784960
36	attention	91419	0
36	moe	238971	31784960
37	attention	91419	0
37	moe	238971	31784960
38	attention	91419	0
38	moe	238971	31784960
39	attention	61827	0
39	moe	238971	31784960
40	attention	91419	0
40	moe	238971	31784960
41	attention	91419	0
41	moe	238971	31784960
42	attention	91419	0
42	moe	238971	31784960
43	attention	61827	0
43	moe	238971	31784960
44	attention	91419	0
44	moe	238971	31784960
45	attention	91419	0
45	moe	238971	31784960
46	attention	91419	0
46	moe	238971	31784960
47	attention	61827	0
47	moe	238971	31784960
