layer_id	layer_name	comp_time	comm_size
0	attention	227666	0
0	moe	219192	95354880
1	attention	227666	0
1	moe	219192	95354880
2	attention	227666	0
2	moe	219192	95354880
3	attention	124976	0
3	moe	219192	95354880
4	attention	227666	0
4	moe	219192	95354880
5	attention	227666	0
5	moe	219192	95354880
6	attention	227666	0
6	moe	219192	95354880
7	attention	124976	0
7	moe	219192	95354880
8	attention	227666	0
8	moe	219192	95354880
9	attention	227666	0
9	moe	219192	95354880
10	attention	227666	0
10	moe	219192	95354880
11	attention	124976	0
11	moe	219192	95354880
12	attention	227666	0
12	moe	219192	95354880
13	attention	227666	0
13	moe	219192	95354880
14	attention	227666	0
14	moe	219192	95354880
15	attention	124976	0
15	moe	219192	95354880
16	attention	227666	0
16	moe	219192	95354880
17	attention	227666	0
17	moe	219192	95354880
18	attention	227666	0
18	moe	219192	95354880
19	attention	124976	0
19	moe	219192	95354880
20	attention	227666	0
20	moe	219192	95354880
21	attention	227666	0
21	moe	219192	95354880
22	attention	227666	0
22	moe	219192	95354880
23	attention	124976	0
23	moe	219192	95354880
24	attention	227666	0
24	moe	219192	95354880
25	attention	227666	0
25	moe	219192	95354880
26	attention	227666	0
26	moe	219192	95354880
27	attention	124976	0
27	moe	219192	95354880
28	attention	227666	0
28	moe	219192	95354880
29	attention	227666	0
29	moe	219192	95354880
30	attention	227666	0
30	moe	219192	95354880
31	attention	124976	0
31	moe	219192	95354880
32	attention	227666	0
32	moe	219192	95354880
33	attention	227666	0
33	moe	219192	95354880
34	attention	227666	0
34	moe	219192	95354880
35	attention	124976	0
35	moe	219192	95354880
36	attention	227666	0
36	moe	219192	95354880
37	attention	227666	0
37	moe	219192	95354880
38	attention	227666	0
38	moe	219192	95354880
39	attention	124976	0
39	moe	219192	95354880
40	attention	227666	0
40	moe	219192	95354880
41	attention	227666	0
41	moe	219192	95354880
42	attention	227666	0
42	moe	219192	95354880
43	attention	124976	0
43	moe	219192	95354880
44	attention	227666	0
44	moe	219192	95354880
45	attention	227666	0
45	moe	219192	95354880
46	attention	227666	0
46	moe	219192	95354880
47	attention	124976	0
47	moe	219192	95354880
