layer_id	layer_name	comp_time	comm_size
0	attention	1762154	0
0	moe	1234176	826408960
1	attention	1762154	0
1	moe	1234176	826408960
2	attention	1762154	0
2	moe	1234176	826408960
3	attention	842900	0
3	moe	1234176	826408960
4	attention	1762154	0
4	moe	1234176	826408960
5	attention	1762154	0
5	moe	1234176	826408960
6	attention	1762154	0
6	moe	1234176	826408960
7	attention	842900	0
7	moe	1234176	826408960
8	attention	1762154	0
8	moe	1234176	826408960
9	attention	1762154	0
9	moe	1234176	826408960
10	attention	1762154	0
10	moe	1234176	826408960
11	attention	842900	0
11	moe	1234176	826408960
12	attention	1762154	0
12	moe	1234176	826408960
13	attention	1762154	0
13	moe	1234176	826408960
14	attention	1762154	0
14	moe	1234176	826408960
15	attention	842900	0
15	moe	1234176	826408960
16	attention	1762154	0
16	moe	1234176	826408960
17	attention	1762154	0
17	moe	1234176	826408960
18	attention	1762154	0
18	moe	1234176	826408960
19	attention	842900	0
19	moe	1234176	826408960
20	attention	1762154	0
20	moe	1234176	826408960
21	attention	1762154	0
21	moe	1234176	826408960
22	attention	1762154	0
22	moe	1234176	826408960
23	attention	842900	0
23	moe	1234176	826408960
24	attention	1762154	0
24	moe	1234176	826408960
25	attention	1762154	0
25	moe	1234176	826408960
26	attention	1762154	0
26	moe	1234176	826408960
27	attention	842900	0
27	moe	1234176	826408960
28	attention	1762154	0
28	moe	1234176	826408960
29	attention	1762154	0
29	moe	1234176	826408960
30	attention	1762154	0
30	moe	1234176	826408960
31	attention	842900	0
31	moe	1234176	826408960
32	attention	1762154	0
32	moe	1234176	826408960
33	attention	1762154	0
33	moe	1234176	826408960
34	attention	1762154	0
34	moe	1234176	826408960
35	attention	842900	0
35	moe	1234176	826408960
36	attention	1762154	0
36	moe	1234176	826408960
37	attention	1762154	0
37	moe	1234176	826408960
38	attention	1762154	0
38	moe	1234176	826408960
39	attention	842900	0
39	moe	1234176	826408960
40	attention	1762154	0
40	moe	1234176	826408960
41	attention	1762154	0
41	moe	1234176	826408960
42	attention	1762154	0
42	moe	1234176	826408960
43	attention	842900	0
43	moe	1234176	826408960
44	attention	1762154	0
44	moe	1234176	826408960
45	attention	1762154	0
45	moe	1234176	826408960
46	attention	1762154	0
46	moe	1234176	826408960
47	attention	842900	0
47	moe	1234176	826408960
