,cdf,batch_execution_time
0,0.0,0.008387589604279218
1,0.01,0.008387589604279218
2,0.02,0.008387589604279218
3,0.03,0.008387589604279218
4,0.04,0.008387589604279218
5,0.05,0.008387589604279218
6,0.06,0.008387589604279218
7,0.07,0.008387589604279218
8,0.08,0.008387589604279218
9,0.09,0.008387589604279218
10,0.1,0.008387589604279218
11,0.11,0.008387589604279218
12,0.12,0.008387589604279218
13,0.13,0.008387589604279218
14,0.14,0.008387589604279218
15,0.15,0.008387589604279218
16,0.16,0.008387589604279218
17,0.17,0.008387589604279218
18,0.18,0.008387589604279218
19,0.19,0.008387589604279218
20,0.2,0.008387589604279218
21,0.21,0.008387589604279218
22,0.22,0.008387589604279218
23,0.23,0.008387589604279218
24,0.24,0.008387589604279218
25,0.25,0.008387589604279218
26,0.26,0.008387589604279218
27,0.27,0.008387589604279218
28,0.28,0.008387589604279218
29,0.29,0.008387589604279218
30,0.3,0.008387589604279218
31,0.31,0.008387589604279218
32,0.32,0.008387589604279218
33,0.33,0.008387589604279218
34,0.34,0.008387589604279218
35,0.35000000000000003,0.008387589604279218
36,0.36,0.008387589604279218
37,0.37,0.008387589604279218
38,0.38,0.008387589604279218
39,0.39,0.008387589604279218
40,0.4,0.008387589604279218
41,0.41000000000000003,0.008387589604279218
42,0.42,0.008387589604279218
43,0.43,0.008387589604279218
44,0.44,0.008387589604279218
45,0.45,0.008387589604279218
46,0.46,0.008387589604279218
47,0.47000000000000003,0.008387589604279218
48,0.48,0.008387589604279218
49,0.49,0.008387589604279218
50,0.5,0.008387589604279218
51,0.51,0.008387589604279218
52,0.52,0.008387589604279218
53,0.53,0.008387589604279218
54,0.54,0.008387589604279218
55,0.55,0.008387589604279218
56,0.56,0.008387589604279218
57,0.5700000000000001,0.008387589604279218
58,0.58,0.008387589604279218
59,0.59,0.008387589604279218
60,0.6,0.008387589604279218
61,0.61,0.008387589604279218
62,0.62,0.008387589604279218
63,0.63,0.008387589604279218
64,0.64,0.008387589604279218
65,0.65,0.008387589604279218
66,0.66,0.008387589604279218
67,0.67,0.008387589604279218
68,0.68,0.008387589604279218
69,0.6900000000000001,0.008387589604279218
70,0.7000000000000001,0.008387589604279218
71,0.71,0.008387589604279218
72,0.72,0.008387589604279218
73,0.73,0.008387589604279218
74,0.74,0.008387589604279218
75,0.75,0.008387589604279218
76,0.76,0.008387589604279218
77,0.77,0.008387589604279218
78,0.78,0.008387589604279218
79,0.79,0.008387589604279218
80,0.8,0.008387589604279218
81,0.81,0.008387589604279218
82,0.8200000000000001,0.008387589604279218
83,0.8300000000000001,0.008387589604279218
84,0.84,0.008387589604279218
85,0.85,0.008387589604279218
86,0.86,0.008387589604279218
87,0.87,0.008387589604279218
88,0.88,0.008387589604279218
89,0.89,0.008387589604279218
90,0.9,0.008387589604279218
91,0.91,0.008387589604279218
92,0.92,0.008387589604279218
93,0.93,0.008387589604279218
94,0.9400000000000001,0.008387589604279218
95,0.9500000000000001,0.008387589604279218
96,0.96,0.008387589604279218
97,0.97,0.008387589604279218
98,0.98,0.008387589604279218
99,0.99,0.008387589604279218
100,1.0,0.025046987228567425
