,time_stats.send_recv.min,time_stats.send_recv.max,time_stats.send_recv.mean,time_stats.send_recv.median,time_stats.send_recv.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.005,0.005,0.005,0.005,0.0,0,2,2048,send_recv,2,2
1,0.005,0.006,0.005666666666666667,0.006,0.0004714045207910317,0,2,10240,send_recv,2,2
2,0.007,0.007,0.007,0.007,0.0,0,2,18432,send_recv,2,2
3,0.007,0.007,0.007,0.007,0.0,0,2,26624,send_recv,2,2
4,0.007,0.007,0.007,0.007,0.0,0,2,34816,send_recv,2,2
5,0.007,0.007,0.007,0.007,0.0,0,2,43008,send_recv,2,2
6,0.008,0.008,0.008,0.008,0.0,0,2,51200,send_recv,2,2
7,0.008,0.008,0.008,0.008,0.0,0,2,59392,send_recv,2,2
8,0.008,0.008,0.008,0.008,0.0,0,2,67584,send_recv,2,2
9,0.008,0.008,0.008,0.008,0.0,0,2,75776,send_recv,2,2
10,0.008,0.008,0.008,0.008,0.0,0,2,83968,send_recv,2,2
11,0.008,0.008,0.008,0.008,0.0,0,2,92160,send_recv,2,2
12,0.008,0.008,0.008,0.008,0.0,0,2,100352,send_recv,2,2
13,0.008,0.009000000000000001,0.008666666666666668,0.009000000000000001,0.00047140452079103207,0,2,108544,send_recv,2,2
14,0.008,0.009000000000000001,0.008666666666666668,0.009000000000000001,0.00047140452079103207,0,2,116736,send_recv,2,2
15,0.008,0.008,0.008,0.008,0.0,0,2,124928,send_recv,2,2
16,0.008,0.008,0.008,0.008,0.0,0,2,133120,send_recv,2,2
17,0.008,0.008,0.008,0.008,0.0,0,2,141312,send_recv,2,2
18,0.008,0.008,0.008,0.008,0.0,0,2,149504,send_recv,2,2
19,0.008,0.008,0.008,0.008,0.0,0,2,157696,send_recv,2,2
20,0.008,0.008,0.008,0.008,0.0,0,2,165888,send_recv,2,2
21,0.008,0.009000000000000001,0.008666666666666668,0.009000000000000001,0.00047140452079103207,0,2,174080,send_recv,2,2
22,0.008,0.009000000000000001,0.008666666666666668,0.009000000000000001,0.00047140452079103207,0,2,182272,send_recv,2,2
23,0.008,0.009000000000000001,0.008666666666666668,0.009000000000000001,0.00047140452079103207,0,2,190464,send_recv,2,2
24,0.008,0.009000000000000001,0.008333333333333333,0.008,0.00047140452079103207,0,2,198656,send_recv,2,2
25,0.008,0.009000000000000001,0.008333333333333333,0.008,0.00047140452079103207,0,2,206848,send_recv,2,2
26,0.008,0.009000000000000001,0.008333333333333333,0.008,0.00047140452079103207,0,2,215040,send_recv,2,2
27,0.008,0.008,0.008,0.008,0.0,0,2,223232,send_recv,2,2
28,0.008,0.009000000000000001,0.008333333333333333,0.008,0.00047140452079103207,0,2,231424,send_recv,2,2
