layer_id	layer_name	comp_time	comm_size
0	attention	589113	33554432
0	moe	738517	254279680
1	attention	589113	33554432
1	moe	738517	254279680
2	attention	589113	33554432
2	moe	738517	254279680
3	attention	302547	33554432
3	moe	738517	254279680
4	attention	589113	33554432
4	moe	738517	254279680
5	attention	589113	33554432
5	moe	738517	254279680
6	attention	589113	33554432
6	moe	738517	254279680
7	attention	302547	33554432
7	moe	738517	254279680
8	attention	589113	33554432
8	moe	738517	254279680
9	attention	589113	33554432
9	moe	738517	254279680
10	attention	589113	33554432
10	moe	738517	254279680
11	attention	302547	33554432
11	moe	738517	254279680
12	attention	589113	33554432
12	moe	738517	254279680
13	attention	589113	33554432
13	moe	738517	254279680
14	attention	589113	33554432
14	moe	738517	254279680
15	attention	302547	33554432
15	moe	738517	254279680
16	attention	589113	33554432
16	moe	738517	254279680
17	attention	589113	33554432
17	moe	738517	254279680
18	attention	589113	33554432
18	moe	738517	254279680
19	attention	302547	33554432
19	moe	738517	254279680
20	attention	589113	33554432
20	moe	738517	254279680
21	attention	589113	33554432
21	moe	738517	254279680
22	attention	589113	33554432
22	moe	738517	254279680
23	attention	302547	33554432
23	moe	738517	254279680
24	attention	589113	33554432
24	moe	738517	254279680
25	attention	589113	33554432
25	moe	738517	254279680
26	attention	589113	33554432
26	moe	738517	254279680
27	attention	302547	33554432
27	moe	738517	254279680
28	attention	589113	33554432
28	moe	738517	254279680
29	attention	589113	33554432
29	moe	738517	254279680
30	attention	589113	33554432
30	moe	738517	254279680
31	attention	302547	33554432
31	moe	738517	254279680
32	attention	589113	33554432
32	moe	738517	254279680
33	attention	589113	33554432
33	moe	738517	254279680
34	attention	589113	33554432
34	moe	738517	254279680
35	attention	302547	33554432
35	moe	738517	254279680
36	attention	589113	33554432
36	moe	738517	254279680
37	attention	589113	33554432
37	moe	738517	254279680
38	attention	589113	33554432
38	moe	738517	254279680
39	attention	302547	33554432
39	moe	738517	254279680
40	attention	589113	33554432
40	moe	738517	254279680
41	attention	589113	33554432
41	moe	738517	254279680
42	attention	589113	33554432
42	moe	738517	254279680
43	attention	302547	33554432
43	moe	738517	254279680
44	attention	589113	33554432
44	moe	738517	254279680
45	attention	589113	33554432
45	moe	738517	254279680
46	attention	589113	33554432
46	moe	738517	254279680
47	attention	302547	33554432
47	moe	738517	254279680
